00110111 00110010 00111000 00110000 00110000 00110101 00110000 00110000  ; Rua José Franco Pimentel
00110111 00110010 00111000 00110000 00110000 00110101 00110001 00110000  ; Rua Raquel Pimentel
00110111 00110010 00111000 00110000 00110000 00110101 00110010 00110000  ; Rua Florentino Chaves
00110111 00110010 00111000 00110000 00110000 00110101 00110011 00110000  ; Viela Alberto de Paula
00110111 00110010 00111000 00110000 00110000 00110101 00110100 00110000  ; Rua Rachel Pimentel Barbosa
00110111 00110010 00111000 00110000 00110000 00110101 00110101 00110000  ; Rua Benedito Pimentel
00110111 00110010 00111000 00110000 00110000 00110101 00110101 00110101  ; Praça Alceu de Araújo Roriz
00110111 00110010 00111000 00110000 00110000 00110101 00110110 00110000  ; Travessa Americano do Brasil
00110111 00110010 00111000 00110000 00110000 00110101 00110111 00110000  ; Rua Americano do Brasil
00110111 00110010 00111000 00110000 00110000 00110101 00110111 00110101  ; Rua Agripino Benedito de Moraes
00110111 00110010 00111000 00110000 00110000 00110101 00111000 00110000  ; Rua Três Bicas
00110111 00110010 00111000 00110000 00110000 00110101 00111001 00110000  ; Rua Major Eliseu de Araújo Melo
00110111 00110010 00111000 00110000 00110000 00110110 00110000 00110000  ; Rua Nossa Senhora de Fátima
00110111 00110010 00111000 00110000 00110000 00110110 00110001 00110000  ; Avenida Inácio Neto
00110111 00110010 00111000 00110000 00110000 00110110 00110010 00110000  ; Rua Padre Primo
00110111 00110010 00111000 00110000 00110000 00110110 00110011 00110000  ; Praça Raimundo de Araújo Melo
00110111 00110010 00111000 00110000 00110000 00110110 00110011 00110101  ; Rua Nelson Braga
00110111 00110010 00111000 00110000 00110000 00110110 00110100 00110000  ; Rua 25 de Dezembro
00110111 00110010 00111000 00110000 00110000 00110110 00110100 00110101  ; Rua Rodovalho Roriz
00110111 00110010 00111000 00110000 00110000 00110110 00110101 00110000  ; Rua Eliane Laquis
00110111 00110010 00111000 00110000 00110000 00110110 00110110 00110000  ; Rua Rafael Meireles Leite
00110111 00110010 00111000 00110000 00110000 00110110 00110111 00110000  ; Rua Nelson Braganel
00110111 00110010 00111000 00110000 00110000 00110110 00111000 00110000  ; Praça Evangelino Meireles
00110111 00110010 00111000 00110000 00110000 00110110 00111000 00110101  ; Travessa Archimedes Tormin
00110111 00110010 00111000 00110000 00110000 00110110 00111001 00110000  ; Rua D
00110111 00110010 00111000 00110000 00110000 00110111 00110000 00110000  ; Travessa Rui Barbosa
00110111 00110010 00111000 00110000 00110000 00110111 00110001 00110000  ; Rua Josefina
00110111 00110010 00111000 00110000 00110000 00110111 00110010 00110000  ; Travessa Dona Olívia Palestino Meireles
00110111 00110010 00111000 00110000 00110000 00110111 00110010 00110101  ; Praça Walter Roriz
00110111 00110010 00111000 00110000 00110000 00110111 00110011 00110000  ; Rua Jesus Meireles
00110111 00110010 00111000 00110000 00110000 00110111 00110100 00110000  ; Avenida Floriano Peixoto
00110111 00110010 00111000 00110000 00110001 00110000 00110001 00110000  ; Rua Sergismundo Melo
